Arabic,English
هذا بيت.,This is a house.
هذا طريق.,This is a road.
هذا يوم جديد.,This is a new day.
أنا هنا.,I am here.
أنا في البيت.,I am in the house.
هو هنا.,He is here.
هي هنا.,She is here.
نحن في الخارج.,We are outside.
الوقت قصير.,Time is short.
الوقت طويل.,Time is long.
الجو جيد.,The weather is good.
الجو هادئ.,The weather is calm.
اليوم جميل.,Today is beautiful.
هذا ممكن.,This is possible.
هذا صعب.,This is difficult.
هذا بسيط.,This is simple.
لا شيء.,Nothing.
كل شيء بخير.,Everything is fine.
أنا أفهم.,I understand.
لا أفهم.,I do not understand.
أنا أعرف.,I know.
لا أعرف.,I do not know.
أنا أريد هذا.,I want this.
أنا لا أريد هذا.,I do not want this.
نبدأ الآن.,We begin now.
ننتهي الآن.,We finish now.
نذهب إلى البيت.,We go home.
نعود إلى البيت.,We return home.
ننتظر هنا.,We wait here.
ننظر إلى هذا.,We look at this.
نسمع هذا.,We hear this.
نرى هذا.,We see this.
نقول هذا.,We say this.
نفعل هذا.,We do this.
هذا جيد.,This is good.
هذا سيئ.,This is bad.
هذا كافٍ.,This is enough.
هذا قريب.,This is near.
هذا بعيد.,This is far.
هناك وقت.,There is time.
لا وقت.,There is no time.
اليوم قصير.,The day is short.
اليوم طويل.,The day is long.
هذا الآن.,This is now.
بعد هذا.,After this.
قبل هذا.,Before this.
