Con đang làm gì vậy?,What are you doing?
Con làm gì đó?,What are you doing there?
Con lại đây,Come here.
Lại đây con,Come here.
Con ngồi đây,Sit here.
Con ở đây nhé,Stay here.
Ba ở đây,Dad is here.
Mẹ ở đây,Mom is here.
Không sao đâu,It’s okay.
Không sao đâu con,It’s okay sweetheart.
Con ăn cơm chưa?,Have you eaten yet?
Ăn cơm đi,Eat your meal.
Con ăn đi,Eat.
Con uống nước đi,Drink some water.
Con đói không?,Are you hungry?
Con buồn ngủ không?,Are you sleepy?
Con ngủ đi,Go to sleep.
Ngủ đi con,Sleep now.
Ba bế con nhé,Dad will hold you.
Để ba bế con,Let dad hold you.
Con đứng lên đi,Stand up.
Con ngồi xuống,Sit down.
Con đi lại đây,Come back here.
Con đi đâu đó?,Where are you going?
Con làm chậm thôi,Go slowly.
Con cẩn thận nhé,Be careful.
Con té rồi,You fell.
Đau không con?,Does it hurt?
Không đau đâu,It doesn’t hurt.
Con giỏi quá,Good job!
Con ngoan lắm,You’re very good.
Con thích không?,Do you like it?
Con không thích à?,You don’t like it?
Con nhìn kìa,Look!
Nhìn này con,Look at this.
Con đưa cho ba,Give it to dad.
Con lấy cái đó,Take that.
Con bỏ xuống đi,Put it down.
Con đừng làm vậy,Don’t do that.
Con chờ một chút,Wait a moment.
Chờ ba chút nhé,Wait for dad a bit.
Con xong chưa?,Are you done yet?
Chưa xong đâu,Not done yet.
Con đi vệ sinh không?,Do you need the bathroom?
Con rửa tay đi,Wash your hands.
Con mặc áo vào,Put your shirt on.
Con tháo giày ra,Take your shoes off.
Con đi ra ngoài không?,Do you want to go outside?
Đi chơi nhé con,Let’s go out to play.
Về nhà thôi,Let’s go home.
